grid_point, analysis_value, analysis_increment
[25, 18],5872.556068763363,4.193047409607061
[25, 19],5873.92628546049,1.0320935942800133
[25, 20],5874.012085905307,-1.7563296631315097
[25, 21],5873.828678408562,-3.6474591834403327
[26, 0],5435.463371877908,-31.729631549857004
[26, 1],5493.022996521982,-8.36711503967399
[26, 2],5537.452695954364,2.108640814816681
[26, 3],5573.097061637241,4.479523158847769
[26, 4],5603.388390325078,4.306531811509558
[26, 5],5629.48194166424,3.9182502615522026
[26, 6],5655.522026794813,4.6506144875002065
[26, 7],5685.537149380309,5.9617458051152425
[26, 8],5719.742066276115,8.879517541285168
[26, 9],5749.474329834571,11.53832335774041
[26, 10],5777.816019671279,19.345696337076333
[26, 11],5794.184734224893,18.10979631884402
[26, 12],5810.435152574724,15.37094761152548
[26, 13],5825.372143001468,9.182248568466093
[26, 14],5839.0861236059445,3.6321533423533765
[26, 15],5852.882409940363,2.7398015373973976
[26, 16],5867.768996125685,6.966562442971735
[26, 17],5879.054096672041,10.752500468234757
[26, 18],5880.192978189766,6.991425509438159
[26, 19],5879.3650561668155,3.2152663980596117
[26, 20],5877.566236618005,-0.25936480456039135
[26, 21],5875.980413938951,-2.7762348878713965
[27, 0],5465.461897931815,-10.1197985572162
[27, 1],5509.1355442635495,9.270064296525561
[27, 2],5530.754292604717,3.5866206060381955
[27, 3],5565.431694758769,6.3762925560859
[27, 4],5600.417656111427,8.752050894488093
[27, 5],5631.536276517202,11.073478899372276
[27, 6],5648.117763535514,1.2793713436894905
[27, 7],5678.831734508853,2.676047381874014
[27, 8],5719.608323706497,10.493386447087687
[27, 9],5747.078704263542,8.510511521760236
[27, 10],5777.664305524072,17.165605933645566
[27, 11],5795.583000277221,17.247251111926744
[27, 12],5810.5461079967345,12.745035550986358
[27, 13],5829.322908749962,8.212108136765892
[27, 14],5853.185936822126,10.220749405678362
[27, 15],5865.727721483603,7.382150252515203
